resource_name,resource_type
FORMOSA_CC2_3,CCGT90
FORMOSA_FORMOSG11,SCGT90
FORMOSA_FORMOSG12,SCGT90
FORMOSA_FORMOSG8,SCLE90
FOXTROT_UNIT1,WIND
FOXTROT_UNIT2,WIND
FOXTROT_UNIT3,WIND
FPPYD1_FPP_G1_J01,CLLIG
FPPYD1_FPP_G1_J02,CLLIG
FPPYD1_FPP_G2_J01,CLLIG
FPPYD1_FPP_G2_J02,CLLIG
FPPYD2_FPP_G3,CLLIG
FREC_CC1_1,CCGT90
FREC_CC2_1,CCGT90
FRNYPP_CC1_6,CCGT90
FRNYPP_CC2_6,CCGT90
FTR_CC1_1,CCGT90
FTWIND_UNIT_1,WIND
FWLR_SLR_UNIT1,PVGR
GALLOWAY_SOLAR1,""
GAMBIT_BESS1,PWRSTR
GBY_GBYGT73,SCLE90
GBY_GBYGT74,SCLE90
GBY_GBYGT81,SCLE90
GBY_GBYGT82,SCLE90
GBY_GBYGT83,SCLE90
GBY_GBYGT84,SCLE90
GIDEON_GIDEONG1,GSREH
GIDEON_GIDEONG2,GSREH
GIDEON_GIDEONG3,GSREH
GOAT_GOATWIN2,WIND
GOAT_GOATWIND,WIND
GOLINDA_UNIT1,PVGR
GOPHER_UNIT1,WIND
GOPHER_UNIT2,WIND
GPASTURE_WIND_I,WIND
GRANDVW1_COLA,WIND
GRANDVW1_COLB,WIND
GRANDVW1_GV1A,WIND
GRANDVW1_GV1B,WIND
GREASWOD_UNIT1,PVGR
GREASWOD_UNIT2,PVGR
GRIF_TRL_UNIT1,WIND
GRIF_TRL_UNIT2,WIND
GRIZZLY_BESS1,PWRSTR
GRIZZLY_SOLAR1,PVGR
GRSES_UNIT1,GSREH
GRSES_UNIT2,GSREH
GUADG_CC1_4,CCGT90
GUADG_CC2_4,CCGT90
GUNMTN_G1,WIND
GWEC_GWEC_G1,WIND
HARALD_UNIT1,WIND
HAYSEN_HAYSENG1,SCGT90
HAYSEN_HAYSENG2,SCGT90
HAYSEN_HAYSENG3,SCGT90
HAYSEN_HAYSENG4,SCGT90
HEIGHTTN_UNIT1,PWRSTR
HELIOS_UNIT1,PVGR
HHGT_CALLAHAN,WIND
HHGT_HHOLLOW1,WIND
HHGT_HHOLLOW2,WIND
HHGT_HHOLLOW3,WIND
HHGT_HHOLLOW4,WIND
HHOLLOW2_WIND1,WIND
HHOLLOW3_WND_1,WIND
HHOLLOW4_WND1,WIND
HICKMAN_G1_J01,WIND
HICKMAN_G1_J02,WIND
HICKMAN_G2_J01,WIND
HICKMAN_G2_J02,WIND
HI_LONEB_BESS1,PWRSTR
HI_LONE_WGR1A,WIND
HI_LONE_WGR1B,WIND
HI_LONE_WGR1C,WIND
HI_LONE_WGR2,WIND
HI_LONE_WGR2A,WIND
HI_LONE_WGR3,WIND
HI_LONE_WGR4,WIND
HLSES_UNIT3,GSREH
HLSES_UNIT4,GSREH
HLSES_UNIT5,GSREH
HOLCOMB_BESS,PWRSTR
HOLSTEIN_SOLAR1,PVGR
HOLSTEIN_SOLAR2,PVGR
HORSECRK_UNIT1,WIND
HORSECRK_UNIT2,WIND
HOVEY_UNIT1,PVGR
HOVEY_UNIT2,PVGR
HRBESS_BESS,PWRSTR
HRFDWIND_JRDWIND1,WIND
HRFDWIND_JRDWIND2,WIND
HRFDWIND_WIND_G,WIND
HRFDWIND_WIND_V,WIND
HWF_HWFG1,WIND
H_HOLLOW_WND1,WIND
IMPACT_UNIT1,PVGR
INDL_ESS,PWRSTR
INDL_INADALE1,WIND
INDL_INADALE2,WIND
INDNNWP_INDNNWP2,WIND
INGLCOSW_CC1_4,CCGT90
INKSDA_INKS_G1,HYDRO
INRT_W_UNIT1,WIND
INRT_W_UNIT2,WIND
INRT_W_UNIT3,WIND
JACKCNTY_CC1_3,CCGT90
JADE_SLR_UNIT1,PVGR
JADE_SLR_UNIT2,PVGR
JAY_UNIT1,PVGR
JAY_UNIT2,PVGR
JCKCNTY2_CC1_3,CCGT90
JC_BAT_UNIT_1,PWRSTR
JUNO_UNIT1,PVGR
JUNO_UNIT2,PVGR
KARAKAW1_UNIT1,WIND
KARAKAW1_UNIT2,WIND
KARAKAW2_UNIT3,WIND
KEECHI_U1,WIND
KELAM_SL_UNIT1,PVGR
KEO_SHRBINO2,WIND
KING_NE_KINGNE,WIND
KING_NW_KINGNW,WIND
KING_SE_KINGSE,WIND
KING_SW_KINGSW,WIND
KMCHI_CC1_1,CCGT90
KMCHI_CC2_1,CCGT90
LACY_CRK_UNIT1,WIND
LACY_CRK_UNIT2,WIND
LACY_CRK_UNIT3,WIND
LACY_CRK_UNIT4,WIND
LAPETUS_UNIT_1,PVGR
LARDVFTN_G4,SCGT90
LARDVFTN_G5,SCGT90
LASSO_UNIT1,PVGR
LEG_LEG_G1,CLLIG
LEG_LEG_G2,CLLIG
LEON_CRK_LCPCT1,SCLE90
LEON_CRK_LCPCT2,SCLE90
LEON_CRK_LCPCT3,SCLE90
LEON_CRK_LCPCT4,SCLE90
LGDRAW_S_UNIT1_1,PVGR
LGDRAW_S_UNIT1_2,PVGR
LGD_LANGFORD,WIND
LGE_CC1_3,CCGT90
LGW_UNIT1,WIND
LGW_UNIT2,WIND
LHM_CVC_G4,SCGT90
LHORN_N_UNIT1,WIND
LHORN_N_UNIT2,WIND
LHSES_UNIT1,GSREH
LHSES_UNIT2A,GSREH
LIG_UNIT1,SCLE90
LIG_UNIT2,SCLE90
LILY_BESS1,PWRSTR
LILY_SOLAR1,PVGR
LMAJADAS_UNIT1,WIND
LMAJADAS_UNIT2,WIND
LMAJADAS_UNIT3,WIND
LMESASLR_IVORY,PVGR
LMESASLR_UNIT1,PVGR
LNCRK2_G871,WIND
LNCRK2_G872,WIND
LNCRK_G83,WIND
LOCKETT_UNIT1,WIND
LONESTAR_BESS,PWRSTR
LONEWOLF_G1,WIND
LONEWOLF_G2,WIND
LONEWOLF_G3,WIND
LONEWOLF_G4,WIND
LON_SOLAR1,PVGR
LOSTPI_CC1_1,CCGT90
LPCCS_CC1_4,CCGT90
LPCCS_CC2_4,CCGT90
LV1_LV1A,WIND
LV2_LV2,WIND
LV3_UNIT_1,WIND
LV4_UNIT_1,WIND
LV5_UNIT_1,WIND
MADERO_UNIT1,PWRSTR
MADERO_UNIT2,PWRSTR
MAGNO_TN_UNIT1,PWRSTR
MARBFA_MARBFAG1,HYDRO
MARBFA_MARBFAG2,HYDRO
MARIAH_NORTE1,WIND
MARIAH_NORTE2,WIND
MARSFO_MARSFOG1,HYDRO
MARSFO_MARSFOG2,HYDRO
MARSFO_MARSFOG3,HYDRO
MARYNEAL_UNIT1,WIND
MASSENGL_CC1_1,CCLE90
MAVCRK_E_UNIT5,WIND
MAVCRK_E_UNIT6,WIND
MAVCRK_E_UNIT7,WIND
MAVCRK_E_UNIT8,WIND
MAVCRK_E_UNIT9,WIND
MAVCRK_W_UNIT1,WIND
MAVCRK_W_UNIT2,WIND
MAVCRK_W_UNIT3,WIND
MAVCRK_W_UNIT4,WIND
MCDLD_FCW1,WIND
MCDLD_SB1_2,WIND
MCDLD_SB3_282,WIND
MCDLD_SB4_G87,WIND
MCLNSLR_UNIT1,PVGR
MCSES_UNIT6,GSNONR
MCSES_UNIT7,GSNONR
MCSES_UNIT8,GSSUP
MDANP_CT1,SCGT90
MDANP_CT2,SCGT90
MDANP_CT3,SCGT90
MDANP_CT4,SCGT90
MDANP_CT5,SCGT90
MDANP_CT6,SCGT90
MERCURY_PV1,PVGR
MERCURY_PV2,PVGR
MESQCRK_WND1,WIND
MESQCRK_WND2,WIND
MESTENO_UNIT_1,WIND
MGSES_CT1,SCLE90
MGSES_CT2,SCLE90
MGSES_CT3,SCLE90
MGSES_CT4,SCLE90
MGSES_CT5,SCLE90
MGSES_CT6,SCLE90
MIAM1_G1,WIND
MIAM1_G2,WIND
MIDWIND_UNIT1,WIND
